,showing_time
dc:37:14:16:86:e2,1
70:e7:2c:c3:80:d2,25
28:e3:1f:ca:13:7a,35
28:e1:4c:a1:bd:00,5
c0:63:94:b8:7f:03,50
d8:96:95:30:e9:a2,32
3e:6a:e5:46:8b:42,1
a8:7c:01:5e:35:0c,14
bc:4c:c4:d9:32:b9,4
18:dc:56:b2:3b:42,15
b8:98:f7:f8:82:5d,2
e8:8d:28:78:73:c3,23
a8:88:08:7c:ba:94,25
a8:86:dd:85:23:c4,7
18:dc:56:f0:08:6d,13
e4:25:e7:66:5c:23,7
70:72:0d:c9:75:9f,1
54:ea:a8:7a:d6:ac,5
9c:a9:e4:35:e3:f9,40
70:72:0d:ca:d9:11,1
9c:c1:72:97:02:6e,14
bc:3b:af:65:b4:29,30
20:a9:9b:ef:c8:20,46
dc:86:d8:c6:3a:ab,52
22:c3:1e:39:6d:eb,1
54:ea:a8:bc:ed:dc,14
54:ea:a8:9e:19:b0,12
9c:a9:e4:db:85:4b,4
80:e6:50:92:a7:b7,4
50:3c:c4:a4:88:df,4
64:09:80:f9:80:13,18
38:bc:1a:26:8b:7a,12
38:bc:1a:2d:04:54,1
38:bc:1a:33:e3:08,1
38:bc:1a:36:67:2e,4
38:bc:1a:48:40:99,3
44:d8:84:07:a8:e1,30
60:92:17:a7:3a:37,7
42:d8:94:27:1c:3c,1
38:bc:1a:83:e8:d4,143
a0:93:47:92:b0:89,1
38:bc:1a:ad:c3:cd,55
38:bc:1a:b1:28:7f,31
a4:3d:78:8e:94:1d,25
40:f3:08:9e:19:96,57
38:bc:1a:c7:c9:78,22
40:f3:08:4a:1a:80,22
b6:91:c0:a3:d9:64,1
38:bc:1a:d5:79:1a,7
cc:a2:23:2e:8d:24,2
78:d7:5f:08:fa:96,29
a8:96:8a:c6:ce:6a,67
78:a3:e4:61:4a:e4,48
a4:3d:78:2f:0c:7d,48
60:d9:a0:fa:61:79,45
60:e7:01:30:3a:4f,6
3e:a9:9a:96:d1:4f,1
cc:08:e0:37:86:9a,3
7c:1d:d9:72:9e:96,58
7c:1d:d9:98:e7:98,18
48:43:7c:8b:37:fa,3
74:e2:f5:4b:e9:f7,8
2c:28:2d:8d:3c:80,52
2c:8a:72:3b:b3:c0,15
80:71:7a:f7:f4:32,5
52:bc:b8:db:67:45,1
2c:8a:72:4e:07:83,15
80:71:7a:e9:08:bd,4
80:71:7a:e8:b2:b6,117
a0:86:c6:4d:10:e5,9
2e:62:fb:c3:6e:16,1
d4:97:0b:bc:95:5d,11
30:30:30:58:41:4e,91
30:75:12:af:4c:ef,19
64:09:80:d9:7a:ca,4
b8:98:f7:eb:a6:8d,17
c4:07:2f:59:bb:98,30
c4:6a:b7:4b:5d:8b,47
b8:98:f7:a1:4a:ad,12
a0:86:c6:fe:cb:b9,21
c4:6a:b7:dd:24:0d,16
48:74:6e:70:88:ab,21
d0:a6:37:d0:96:8b,7
48:6b:2c:9e:83:1c,1
34:e2:fd:0e:9c:8b,4
a4:c3:61:5a:88:5e,25
74:51:ba:e6:12:3e,45
7c:1d:d9:ac:b6:df,52
d0:7a:b5:41:06:47,84
38:94:96:5d:33:18,29
c4:50:06:35:86:66,30
d4:97:0b:77:7c:7d,47
5c:f7:c3:15:af:5b,2
68:a0:f6:48:83:a5,4
14:f6:5a:8e:8e:67,71
90:00:db:74:43:ae,5
14:f6:5a:9c:a8:d6,4
f4:e3:fb:36:6d:ae,19
f0:25:b7:51:b8:c5,6
f4:f1:5a:d3:1d:5f,21
14:f6:5a:c0:4b:e3,3
98:f1:70:3a:db:a9,16
68:96:7b:5e:3e:94,4
68:df:dd:1c:4b:b9,18
14:f6:5a:88:2b:98,35
f6:d0:10:97:8a:b4,40
00:f4:b9:c1:56:60,48
f8:a4:5f:1c:b1:12,1
9c:20:7b:07:36:29,1
00:a1:79:d2:e5:f0,8
18:59:36:1f:ff:77,54
18:59:36:6c:77:e8,12
9c:20:7b:46:5c:f6,12
18:59:36:8d:54:79,32
88:cb:87:52:8e:28,28
9c:35:eb:b2:53:67,10
ac:38:70:53:58:94,93
08:10:78:dc:b9:fa,16
14:a3:64:ff:20:62,1
08:63:61:cd:18:7b,2
98:fa:e3:db:f0:9b,13
f4:29:81:1f:cc:10,15
8c:be:be:9b:76:42,39
8c:be:be:89:15:a5,33
8c:be:be:9f:bb:88,10
10:41:7f:2f:d6:be,9
8c:be:be:61:e6:ff,1
0c:30:21:b9:11:58,5
10:9a:dd:2d:bb:30,7
f4:29:81:a1:22:3d,10
ac:f7:f3:cb:5d:de,5
f0:db:f8:82:d7:c2,59
ac:f7:f3:bc:e3:33,1
10:f6:81:c1:99:e5,1
0c:1d:af:a0:6b:57,4
8c:34:fd:d7:4b:27,3
f0:27:65:58:c4:12,181
8e:32:53:56:cc:e1,1
98:fa:e3:3c:19:6e,17
08:ec:a9:2d:fa:1b,17
f4:8b:32:be:0e:41,7
f0:27:65:2a:cd:6b,12
14:99:e2:4c:fd:5a,1
ec:35:86:ae:e1:06,7
68:df:dd:8c:2d:59,2
0c:e7:25:2a:c6:18,32
ac:f7:f3:1b:69:fb,94
88:70:8c:1a:b9:65,9
fe:3b:26:8b:81:0c,1
18:dc:56:7c:dd:ea,166
88:70:8c:b7:91:bb,34
fc:e9:98:13:8c:fa,55
18:59:36:e0:fb:4c,11
68:df:dd:97:13:87,60
68:df:dd:a6:69:33,3
ea:78:7e:53:36:58,1
78:7e:61:3c:24:8a,14
cc:07:e4:d3:a5:5b,21
f8:a4:5f:ff:af:24,36
00:08:22:b0:30:96,1
5c:f7:c3:4f:a4:52,10
08:fc:88:8f:78:a3,57
a8:8e:24:42:44:a7,1
3e:78:10:af:78:54,1
3c:e0:72:7a:dc:7e,139
5c:f7:c3:68:2c:1a,6
0c:1d:af:42:cc:be,10
60:d9:a0:fc:03:b5,8
60:d9:c7:95:b1:69,1
cc:29:f5:65:94:7a,4
cc:29:f5:82:bf:fb,16
cc:29:f5:97:54:cf,21
b8:e8:56:52:84:62,1
f4:8b:32:8d:00:d0,3
0c:14:20:14:6f:b5,77
78:6a:89:17:26:08,51
ca:8f:da:89:e2:e2,1
f4:8b:32:c3:fe:cd,48
44:74:6c:4c:b2:af,37
60:92:17:b3:a5:8b,12
04:f1:3e:7d:9e:4b,29
04:f7:e4:14:ce:9b,11
60:d9:a0:a1:2c:41,1
42:18:97:a7:7f:33,1
a4:3d:78:97:8a:c8,17
f4:9f:f3:da:e9:bd,106
ac:38:70:a5:8c:45,1
a4:3d:78:60:f0:59,28
b8:09:8a:6e:8b:ab,13
06:de:e9:83:1d:70,1
c8:e0:eb:9e:e1:bf,8
94:94:26:a8:84:73,5
40:a6:d9:cd:d1:ca,44
a4:3d:78:42:9a:61,7
5c:0a:5b:99:e6:93,6
3c:91:57:e5:b4:23,13
fc:e9:98:e9:a4:56,4
40:0e:85:5e:58:e8,22
78:9f:70:35:a4:19,44
78:9f:70:3c:a5:b3,7
5a:33:dd:84:82:5f,1
70:72:0d:06:ba:f1,9
70:14:a6:3a:5e:48,30
00:08:22:1a:57:64,1
98:fa:e3:c3:9e:ff,22
ac:f7:f3:c0:00:21,4
5c:96:9d:1b:32:bb,6
38:bc:1a:c3:5d:9c,15
38:bc:1a:c2:e2:bb,53
38:bc:1a:c2:82:9e,21
f4:29:81:7a:15:c8,15
38:bc:1a:bd:64:6e,15
78:d7:5f:4d:7b:25,18
60:f8:1d:f2:3b:08,1
b8:b4:2e:a9:2e:73,24
ac:f7:f3:c1:28:e9,1
38:bc:1a:b4:74:0a,53
0c:74:c2:5d:6c:b3,86
70:3e:ac:81:b5:78,2
fe:22:d5:87:7c:2b,1
38:bc:1a:ae:f1:d1,12
b8:98:f7:f7:e8:f0,2
68:df:dd:c3:da:85,26
b8:bc:1b:ed:d3:84,47
cc:a2:23:32:53:b6,1
f4:29:81:e0:ea:45,28
68:a8:6d:8d:2d:8a,11
6c:25:b9:bc:e0:ea,9
90:fd:61:32:5f:ed,20
78:a3:e4:01:9a:93,18
0c:1d:af:d8:f4:50,10
3c:91:57:0d:8e:a0,14
60:e7:01:6c:3a:67,298
0c:1d:af:e0:97:cf,8
60:f8:1d:39:4d:e6,10
cc:3a:61:cf:2a:b7,82
b8:bc:1b:a6:71:7f,6
90:fd:61:41:74:85,23
0c:1d:af:e8:b9:b8,1
3a:1d:71:4b:74:94,1
38:f8:89:d1:16:17,7
8c:be:be:d8:22:8e,129
38:bc:1a:ef:d3:9a,1
00:08:22:66:e4:fb,1
38:bc:1a:ef:12:b0,64
00:08:22:3e:5c:15,1
68:a0:f6:9b:32:09,4
f4:29:81:c7:d0:05,13
44:80:eb:30:79:ce,8
44:91:db:71:ab:7a,41
bc:3a:ea:00:3e:36,1
c0:9a:71:0e:d6:91,7
00:88:65:4c:72:06,16
00:88:65:7b:7a:66,6
52:e7:4c:21:1d:9f,1
74:51:ba:56:6a:a5,3
ac:f7:f3:5b:e1:da,75
f8:a4:5f:93:7b:c0,3
74:51:ba:56:77:71,4
f8:a4:5f:77:4d:22,1
68:df:dd:9e:83:e4,1
74:51:ba:58:b8:21,81
74:51:ba:5c:c4:b3,4
58:1f:aa:05:18:b1,18
70:14:a6:dd:f3:c7,13
50:ea:d6:2d:d0:d2,61
c2:a5:fd:4e:58:ba,1
ac:7f:3e:46:45:8f,2
90:3c:92:c6:7e:4c,1
50:a4:c8:c6:88:6b,28
74:51:ba:68:25:eb,12
50:7a:55:6e:97:0e,11
68:df:dd:ef:03:71,11
50:3c:c4:be:f3:b5,3
c0:9a:71:0e:b1:93,58
5c:f8:a1:cf:78:67,12
a8:88:08:88:9e:18,17
00:23:b1:c0:96:bb,4
5c:f8:a1:3f:78:f6,7
90:b6:86:7b:84:df,5
98:6c:f5:1c:bb:f6,8
ac:cf:5c:ca:80:7c,1
54:e4:3a:75:db:b6,1
bc:52:b7:73:af:5a,24
f8:a4:5f:dc:59:e9,11
70:ec:e4:5a:67:cc,22
68:df:dd:96:9d:0e,1
70:ec:e4:5b:65:ee,5
c0:1a:da:2b:77:98,18
b8:98:f7:ed:a2:ab,5
54:9f:13:ca:52:ab,5
a8:66:7f:73:26:6e,6
90:8d:6c:e7:fc:a6,1
54:9f:13:6d:f3:d4,4
54:9f:13:20:98:e3,9
c0:63:94:de:b2:47,1
bc:44:86:33:1c:56,1
54:72:4f:59:c1:df,4
68:df:dd:a3:b6:2f,6
90:3c:92:84:97:84,26
5c:f9:6a:fd:2a:8d,22
60:51:2c:22:20:70,23
00:0c:e7:a5:db:fb,4
98:f1:70:3a:1e:7c,1
48:6b:2c:3f:de:ac,13
58:2a:f7:a6:ff:6f,1
48:60:bc:a4:f4:5e,15
a4:c3:61:50:06:45,19
48:5a:3f:27:ae:a3,2
70:72:0d:cb:2a:62,5
74:ad:b7:82:9d:84,24
f6:4c:e0:d3:d1:c9,1
98:f1:70:40:9c:54,8
70:72:0d:cb:1e:d5,1
90:18:7c:4d:e3:7a,10
a4:5e:60:89:a4:27,3
70:14:a6:7b:43:df,1
c8:6f:1d:00:13:df,51
76:aa:65:18:9b:27,1
a4:3d:78:f0:68:43,22
