,showing_time
9c:c1:72:8b:97:c4,1
9e:38:27:7e:68:08,1
9a:18:77:4b:19:4c,1
98:fa:e3:db:19:a1,8
94:01:c2:5e:0a:92,31
94:77:2b:f6:3f:a9,7
94:94:26:aa:b5:d3,9
96:02:a6:8b:67:23,1
96:2a:72:05:01:cb,1
96:43:2c:74:89:99,1
96:48:d0:b7:14:e6,1
96:c4:26:7e:47:d6,1
96:d3:4f:13:da:49,1
98:03:d8:5d:82:ab,30
98:03:d8:c4:c0:95,28
98:5a:eb:a3:be:c0,1
98:6c:f5:6c:13:c5,38
98:6c:f5:73:02:f8,29
98:d6:bb:45:61:cd,13
98:d6:bb:54:b1:ec,3
98:e0:d9:28:cd:59,5
98:fa:e3:db:0d:49,1
98:fa:e3:55:30:6f,1
98:fa:e3:50:8d:8e,16
98:fa:e3:4a:1d:b2,2
98:fa:e3:40:e1:60,5
98:fa:e3:3d:56:bb,30
98:ff:d0:ff:3b:59,1
98:fa:e3:34:83:c4,1
98:f1:70:95:40:d7,15
98:f1:70:93:b2:af,2
98:f1:70:31:11:1d,1
98:f1:70:09:e2:a6,1
98:f1:70:03:ea:ab,26
98:f0:ab:3d:d4:95,29
98:fa:e3:30:bd:ae,2
9e:a9:e4:d3:e7:20,2
9e:a9:e4:da:63:ab,1
9e:a9:e4:da:73:a6,1
a0:ed:cd:c9:59:ab,16
a2:14:cb:e3:a1:95,1
a2:31:b5:e5:0c:f0,1
a2:6c:81:a1:9f:07,1
a2:7a:d1:dc:fc:3b,1
a2:7e:2d:4f:3a:38,1
a2:84:94:7d:89:fb,1
a2:88:91:4e:52:c4,1
a4:3d:78:42:bc:a5,16
a4:3d:78:a8:58:dc,15
a4:3d:78:be:3e:41,6
a4:3d:78:be:80:df,3
a4:3d:78:e1:9d:6b,1
a4:5e:60:2f:23:ea,10
a4:c3:61:49:85:7c,1
a4:c3:61:58:a6:e2,1
a4:c3:61:71:f6:b2,18
a8:7c:01:7a:8f:63,67
a8:66:7f:ef:59:08,16
a8:66:7f:9f:24:a9,1
a8:66:7f:75:92:59,6
a8:66:7f:5d:b0:af,5
a8:5b:78:68:d2:2d,1
a0:ed:cd:04:9e:12,4
a8:5b:78:2f:7e:d8,1
a8:26:d9:5a:9d:62,1
a8:1b:5a:8f:69:26,4
a8:1b:5a:6d:da:4b,6
a8:1b:5a:12:af:17,16
a6:9e:a5:bd:4c:b3,1
a6:9e:0e:09:14:54,1
a8:5b:78:20:62:45,17
a0:ed:cd:03:aa:a6,1
a0:ec:80:d6:a6:ed,1
a0:e4:53:78:12:b6,1
a0:86:c6:91:70:f3,21
a0:86:c6:80:cd:45,21
a0:86:c6:80:60:cd,1
a0:86:c6:7b:52:c0,8
a0:86:c6:3e:c9:d6,5
a0:86:c6:31:7c:cc,106
a0:86:c6:94:c3:4f,17
a0:86:c6:04:03:d3,5
a0:68:33:88:ef:54,1
a0:18:28:e4:ac:ca,3
a0:18:28:a6:a5:47,1
a0:18:28:a5:a3:61,1
a0:18:28:75:83:bb,7
a0:18:28:1c:aa:7c,3
a0:82:1f:4a:00:df,1
a8:88:08:88:93:ec,17
a0:86:c6:ad:93:cf,2
a0:86:c6:af:3c:27,3
a0:e4:53:3c:ae:ae,35
a0:b4:a5:fd:40:49,52
a0:b4:a5:e0:49:15,1
a0:93:47:f2:2c:3f,1
a0:93:47:b8:b0:0e,12
a0:93:47:b6:61:89,93
ac:cf:5c:e9:a5:f8,13
a0:93:47:41:6a:43,102
a0:93:47:27:4b:a4,22
a0:93:47:1a:c7:f6,4
a0:93:47:02:0c:1a,28
a0:86:c6:ff:20:67,134
a0:86:c6:fe:57:13,42
a0:86:c6:fe:18:ef,43
a0:93:47:30:e3:0c,8
ac:e2:15:fd:f9:5a,32
c6:91:24:dd:b1:86,1
ac:f7:f3:11:e1:7a,1
e6:24:88:46:e7:21,1
e6:10:49:e2:5b:f9,1
e4:f8:ef:ab:15:1a,1
e4:f8:ef:9f:c5:11,36
e4:ce:8f:82:67:8a,1
e4:5a:a2:bf:c4:60,55
e4:25:e7:71:ba:4d,11
e4:25:e7:4e:08:40,25
e4:25:e7:3d:db:ce,80
e4:12:1d:55:58:9b,14
e2:ff:01:a1:80:31,1
e0:c9:7a:ba:42:b8,52
e0:c9:7a:b7:bd:03,1
e0:c9:7a:b1:26:97,6
e0:b5:2d:4d:88:bf,1
e0:b5:2d:17:89:96,13
e0:b5:2d:15:a3:4a,12
e0:99:71:2c:d4:8a,1
e0:19:1d:a4:91:3b,3
e8:08:8b:f5:e1:5a,1
e8:50:8b:3d:ec:1b,3
e8:8d:28:bf:85:c7,7
e8:8d:28:d3:52:1e,1
ee:18:a7:b8:3b:d7,1
ec:df:3a:3f:fb:30,1
ec:cb:30:9a:cb:ac,3
ec:5a:86:ae:53:f0,14
ec:5a:86:9d:e3:3a,2
ec:5a:86:67:4b:34,28
ec:5a:86:5a:af:38,5
ec:35:86:97:b4:5d,13
ea:c9:83:77:ad:39,1
e0:19:1d:95:53:e2,12
ea:b6:fb:f2:c8:63,1
ea:64:d6:62:a9:8a,1
ea:46:df:7b:c8:83,1
ea:0d:3b:31:98:eb,1
e8:cd:2d:0c:c2:22,16
e8:bb:a8:d4:48:04,20
e8:bb:a8:a9:12:68,1
e8:bb:a8:7a:4e:8d,11
e8:bb:a8:48:f2:6f,1
e8:bb:a8:0e:59:99,14
ea:a9:c1:72:dc:b0,1
de:b7:bd:76:64:34,1
de:8f:82:0f:ea:7c,1
de:79:2f:91:31:4a,1
d8:96:95:00:38:c6,1
d8:90:e8:20:1f:7f,4
d8:55:a3:ef:5c:43,8
d8:55:a3:ec:fc:4a,7
d8:55:a3:e2:89:2f,7
d8:2a:7e:91:2e:98,6
d8:1d:72:51:6c:f0,8
d8:1d:72:4e:97:d2,2
d8:1d:72:49:76:0a,2
d8:9e:3f:37:9f:0a,3
d6:c0:64:de:29:ad,1
d6:63:7f:15:bd:c9,1
d6:32:27:8f:f4:58,1
d6:13:50:ca:c3:63,1
d4:f4:6f:f1:39:a2,1
d4:97:0b:c1:ff:3d,1
d4:97:0b:c1:ce:87,23
d4:97:0b:b2:58:9b,13
d4:97:0b:ab:f3:11,16
d4:97:0b:a5:b8:27,56
d6:9b:eb:e2:32:45,1
ee:2d:a2:f7:d2:ec,1
d8:9e:3f:5f:95:bc,29
d8:cf:9c:5a:f8:61,15
de:6b:ca:2d:d5:58,1
de:65:0b:ee:0c:da,1
de:60:13:e1:ef:7f,1
de:06:7c:cf:08:af,1
dc:9b:9c:d4:b4:2f,2
dc:86:d8:c6:20:45,33
dc:86:d8:74:d1:6d,21
dc:86:d8:20:0e:94,1
dc:37:14:de:35:6b,68
d8:9e:3f:d0:26:8f,4
dc:37:14:5e:62:79,2
dc:37:14:48:8b:8e,1
dc:37:14:17:1c:3b,30
da:a1:19:d1:4c:38,1
da:a1:19:8e:02:bf,1
da:a1:19:83:fd:4e,1
da:a1:19:17:93:3a,1
da:66:1a:8d:f1:0b,1
da:5c:84:e3:7e:f6,1
da:33:6a:25:b4:1a,1
dc:37:14:5c:f1:f1,4
ee:ac:4c:bf:c5:21,1
ee:bd:21:45:47:bb,1
ee:cc:2a:fa:ad:b8,1
f8:a4:5f:75:3f:56,1
f8:a4:5f:74:9e:74,58
f8:a4:5f:70:e9:3a,26
f8:a4:5f:3d:68:72,1
f8:a4:5f:33:71:6c,48
f8:a4:5f:30:03:8b,24
f8:a4:5f:17:a1:9a,11
f8:a4:5f:10:6e:24,91
f8:0c:f3:e4:7a:0a,1
f8:a4:5f:84:b4:5d,18
f8:01:13:f9:e5:e5,1
f6:d0:10:46:b2:af,1
f6:b5:57:0b:7f:84,1
f6:9f:99:a4:c6:a8,1
f4:f1:5a:df:22:82,5
f4:f1:5a:96:83:4c,1
f4:e3:fb:0d:9c:d1,1
f4:dc:f9:41:fe:2c,2
f4:8e:92:ae:cf:ea,1
f4:8e:92:99:d9:e5,2
f6:d0:10:b9:6a:ea,1
f4:8e:92:58:1c:1f,15
f8:a4:5f:86:4f:15,3
f8:a4:5f:cc:a2:9d,4
fe:22:5f:88:fa:3b,1
fe:22:4c:ce:80:34,1
fe:13:56:dd:fb:c9,1
fc:e9:98:7d:c7:85,11
fc:e9:98:18:0e:97,9
fc:e9:98:14:f5:a8,5
fc:3d:93:1a:df:04,33
fc:25:3f:5a:34:cb,3
fc:25:3f:28:01:b6,5
f8:a4:5f:9d:c7:2a,4
fa:cd:cd:70:cc:8e,1
fa:13:76:5b:c3:9c,1
fa:0a:77:88:d0:65,1
f8:cf:c5:e0:c0:00,28
f8:cf:c5:d5:3f:02,1
f8:cf:c5:83:c7:d4,1
f8:a9:d0:85:6f:70,4
f8:a4:5f:fd:51:5f,2
f8:a4:5f:e6:7c:f9,4
f8:a4:5f:dc:2a:c9,1
fa:2f:c4:8c:ed:15,1
d4:97:0b:a2:bf:04,281
f4:8b:32:ac:c9:68,3
f4:8b:32:8a:5b:a8,59
f0:dc:e2:31:fb:50,8
f0:dc:e2:1f:c2:06,3
f0:db:e2:97:55:9a,9
f0:db:e2:77:27:ac,1
f0:cb:a1:73:6a:55,4
f0:99:bf:5d:2e:85,4
f0:5a:09:88:13:41,4
f0:27:65:80:ad:15,28
f0:27:65:5f:09:91,3
f0:f6:1c:48:63:81,10
f0:25:b7:a5:71:4b,3
f0:25:b7:43:50:a5,13
f0:25:b7:13:82:d8,20
f0:24:75:cd:dd:f2,18
f0:24:75:cc:63:f2,1
f0:24:75:c5:36:72,16
f0:24:75:87:c3:21,44
ee:f3:b3:03:93:3b,1
ee:e1:09:11:50:68,1
ee:d4:ab:ec:5a:d6,1
f0:25:b7:57:05:56,1
f4:8b:32:ab:26:8b,21
f0:f6:1c:82:46:51,78
f2:9a:dc:bd:05:d3,1
f4:8b:32:82:0c:56,1
f4:8b:32:71:69:a1,52
f4:8b:32:67:c7:3d,127
f4:8b:32:61:8d:7b,29
f4:8b:32:10:a1:f1,1
f4:8b:32:07:17:3d,4
f4:29:81:eb:0f:61,19
f4:29:81:9e:5a:52,10
f4:29:81:95:cf:3c,11
f2:50:15:17:3a:b2,1
f4:29:81:7c:28:c4,5
f4:29:81:77:f5:56,14
f4:29:81:20:03:84,4
f4:09:d8:d7:e6:b0,10
f4:09:d8:b7:55:b3,1
f4:09:d8:53:fe:48,29
f4:09:d8:4a:da:04,33
f4:09:d8:1e:51:24,5
f2:f8:d9:76:5f:23,1
f2:c2:1d:18:ca:f1,1
f4:29:81:7a:29:02,10
ac:f7:f3:10:70:76,1
d4:97:0b:9b:c8:87,5
d4:97:0b:8a:84:80,256
bc:3a:ea:49:b9:73,2
bc:3a:ea:2d:ed:ab,1
bc:3a:ea:1d:3e:73,24
bc:20:10:0c:02:58,32
ba:ae:52:10:3b:7c,1
ba:9a:a1:05:8e:12,1
ba:71:a1:6e:e3:da,1
ba:20:e9:de:6a:64,1
b8:bc:1b:c1:88:be,1
b8:bc:1b:6f:b9:30,4
b8:bc:1b:4f:e5:03,71
b8:bc:1b:12:47:4b,17
b8:98:f7:fb:6b:4d,14
b8:98:f7:f9:4d:67,4
b8:98:f7:f7:c3:cd,6
b8:98:f7:f3:78:ae,6
b8:98:f7:e5:6e:cd,25
b8:98:f7:9e:40:42,1
b8:98:f7:99:42:19,16
bc:3a:ea:b9:1c:d9,2
bc:3b:af:5b:1e:c6,12
bc:4c:c4:cc:44:c9,4
bc:4c:c4:e8:de:3b,11
c4:6a:b7:48:cc:ea,15
c4:07:2f:bc:ca:fe,9
c4:07:2f:3c:9f:a7,2
c2:b3:37:49:81:c0,1
c2:94:b6:34:fe:71,1
c0:f2:fb:e0:9b:a1,8
c0:f2:fb:dc:39:01,17
c0:f2:fb:91:b2:4d,1
c0:bd:d1:68:7c:58,27
b8:98:f7:10:c6:c5,14
c0:9f:42:da:d6:5c,10
c0:9a:71:22:8c:c3,4
c0:65:99:e9:5d:3f,6
c0:63:94:df:ef:b6,3
c0:1a:da:36:2d:8c,19
c0:1a:da:35:e8:eb,31
be:be:bb:87:a7:b1,1
be:a3:f2:4a:a0:b1,1
bc:52:b7:90:a0:88,3
bc:4c:c4:f1:48:c8,1
c0:9a:71:23:35:af,1
b8:5e:7b:97:49:bd,3
b8:4f:d5:59:a2:bc,1
b8:09:8a:70:bf:0f,19
b0:c5:59:b9:0b:73,6
b0:c5:59:9d:3a:f8,10
b0:9f:ba:a0:9e:68,2
b0:9f:ba:9e:b6:07,1
b0:9f:ba:92:21:af,2
b0:45:19:1b:a5:fc,150
b0:34:95:84:eb:80,7
ae:d9:bb:4d:8e:bf,1
ae:b6:9c:87:ce:bc,1
b0:e0:3c:4e:32:18,1
ae:a2:52:eb:b2:8f,1
ac:f7:f3:bb:e7:94,60
ac:f7:f3:ac:bb:c3,4
ac:f7:f3:aa:ff:52,28
ac:f7:f3:a7:78:8b,1
ac:f7:f3:a2:7d:7d,8
ac:f7:f3:a0:66:53,3
ac:f7:f3:80:24:da,74
ac:f7:f3:5e:e4:cb,2
ac:f7:f3:5c:7e:3d,32
ac:fd:ec:4f:87:ee,9
c4:6a:b7:9d:78:98,1
b0:e0:3c:9c:20:0c,40
b2:46:35:72:7d:37,1
b8:09:8a:65:5f:e1,4
b8:09:8a:61:8f:c4,3
b8:09:8a:5f:a9:1f,38
b8:09:8a:48:c0:f6,1
b8:09:8a:06:bf:9c,1
b6:bf:72:c7:d1:eb,1
b6:75:60:7d:01:b6,1
b6:6a:0b:41:01:72,1
b4:f0:ab:89:de:cc,11
b2:45:8b:8a:27:e7,1
b4:ce:f6:73:ee:0e,4
b4:52:7e:34:03:36,1
b4:30:52:ef:6e:17,37
b4:30:52:2e:47:8d,12
b4:30:52:19:8b:85,43
b2:e2:59:b9:f0:ef,1
b2:c7:f7:11:06:f0,1
b2:95:9b:58:2b:23,1
b2:6e:f4:cd:39:32,1
b2:49:6f:5e:02:71,1
b4:52:7e:80:59:df,7
c4:6a:b7:9e:e9:7b,22
c4:6a:b7:d5:d1:4f,12
c4:6a:b7:d9:1b:8a,26
d0:2d:b3:93:82:78,2
d0:25:98:c9:cf:69,21
d0:23:db:a1:fd:24,42
d0:23:db:01:ca:29,7
d0:22:be:d6:13:2d,30
d0:22:be:d3:c8:d3,4
d0:22:be:af:e0:90,25
d0:22:be:6e:38:6c,32
d0:22:be:55:57:da,1
d0:4f:7e:d4:68:89,24
d0:22:be:3e:bc:8c,10
d0:22:be:1e:aa:ac,1
d0:22:be:17:44:ea,1
d0:22:be:03:42:53,180
ce:f5:74:67:1d:51,1
ce:f2:69:0c:5d:e9,1
ce:ee:51:7d:ea:af,1
ce:59:fd:30:4b:a0,1
cc:a2:23:36:69:f9,20
cc:78:5f:6a:90:c3,18
d0:22:be:30:d0:32,6
cc:78:5f:53:c0:ae,1
d0:59:e4:bd:d0:48,10
d0:9d:ab:e8:3b:a1,8
d4:97:0b:87:01:e4,3
d4:97:0b:7f:23:22,3
d4:97:0b:6c:e6:62,59
d4:22:3f:25:fc:42,11
d4:0b:1a:67:eb:29,27
d4:0b:1a:66:59:15,15
d4:0b:1a:36:fa:a3,5
d2:54:48:66:40:e4,1
d2:06:9b:cf:ae:83,1
d0:7a:b5:24:0b:80,13
d0:e1:40:58:10:9c,1
d0:a6:37:d2:3b:db,1
d0:a6:37:cd:67:ec,1
d0:a6:37:b4:aa:5c,1
d0:a6:37:a8:fd:f4,1
d0:a6:37:8b:c8:7b,1
d0:a6:37:4a:df:9d,29
d0:a6:37:2d:54:b7,3
d0:a6:37:24:25:cd,1
d0:a6:37:18:73:62,1
d0:e1:40:06:bd:59,2
d4:97:0b:8f:c7:42,1
cc:3a:61:b3:bd:31,3
cc:3a:61:95:e9:50,17
c8:6f:1d:7b:63:27,2
c8:6f:1d:67:b8:79,48
c8:6f:1d:42:42:ff,17
c8:6f:1d:01:8b:a1,1
c8:33:4b:6d:0e:3d,30
c8:1e:e7:cb:01:aa,63
c8:1e:e7:bd:1a:e5,12
c8:1e:e7:bc:b5:c1,1
c8:1e:e7:68:f9:5e,11
c8:6f:1d:86:d6:a2,1
c8:1e:e7:07:2e:96,11
c6:dd:77:d7:d1:b2,1
c6:a1:45:74:06:7a,1
92:e2:2a:3c:70:a9,1
c6:6a:a1:24:48:74,1
c4:88:e5:7e:ef:e8,49
c4:6a:b7:de:77:3d,6
c4:6a:b7:dd:de:b9,1
c4:6a:b7:dc:e2:bc,1
c4:6a:b7:dc:54:59,4
c8:14:79:68:86:da,1
cc:3a:61:99:7b:42,2
c8:6f:1d:9f:2b:44,29
c8:6f:1d:dc:7e:77,14
cc:3a:61:8b:ec:5c,7
cc:3a:61:60:ca:fe,5
cc:3a:61:42:43:fa,8
cc:3a:61:1d:c0:c6,13
cc:29:f5:d1:cc:e7,14
cc:29:f5:ad:1f:99,1
cc:29:f5:ac:11:cd,18
cc:29:f5:2f:3d:bd,9
cc:08:e0:bd:f7:bc,27
c8:6f:1d:b1:b9:a1,8
cc:07:e4:d5:da:cf,15
cc:07:e4:3d:01:6f,15
cc:07:ab:fe:05:d7,2
ca:b7:5e:7f:8a:fd,1
ca:a5:a7:de:39:a0,1
ca:a5:3d:4f:88:d2,1
ca:3a:f4:83:50:5d,1
c8:e0:eb:81:b5:76,8
c8:b5:b7:e5:f5:ae,10
c8:6f:1d:e7:83:31,2
cc:07:e4:d2:22:fd,23
92:63:df:f6:8e:49,1
7c:1d:d9:4c:0c:46,49
92:13:57:dd:fe:13,1
2c:8a:72:4f:39:f7,1
2c:8a:72:4d:1b:9d,2
2c:8a:72:3c:52:fc,5
2c:28:2d:fd:2b:10,26
2c:28:2d:fa:10:34,10
2c:28:2d:e0:b2:64,37
2c:28:2d:83:1b:39,5
2c:28:2d:62:a1:6d,24
2c:28:2d:47:7e:f9,3
2c:28:2d:2c:ab:31,1
2c:8a:72:74:39:41,6
2c:28:2d:1d:c8:33,1
2a:f4:25:b8:bf:26,1
2a:ab:49:39:7c:c8,1
2a:96:45:a2:05:25,1
2a:6a:e4:44:ed:de,1
28:e3:1f:c7:df:36,8
28:e3:1f:c5:33:9f,20
28:e3:1f:b7:32:73,12
28:e3:1f:aa:12:2d,3
28:e3:1f:95:c4:27,3
28:e3:1f:8e:e2:19,6
2a:f8:a7:bf:94:d9,1
28:e3:1f:77:71:7f,27
2c:8a:72:99:2a:2b,1
2c:8a:72:c9:4d:42,7
34:23:ba:91:b8:96,23
34:23:ba:16:ba:08,3
32:dd:93:69:99:76,1
32:d7:fc:eb:2d:50,1
32:bd:bf:f8:86:b7,1
32:88:75:fd:71:c4,1
32:53:6c:f3:65:28,1
32:38:98:91:9d:e6,1
32:33:75:73:e2:6f,1
30:f7:c5:9a:60:df,24
2c:8a:72:99:85:5c,1
30:f7:c5:37:87:02,5
30:9b:ad:e0:1d:2f,3
30:9b:ad:57:2c:3d,44
30:9b:ad:13:d2:7e,68
30:92:f6:45:6b:1a,1
30:92:f6:1e:c0:0a,12
30:10:e4:e7:fe:02,24
2e:37:c0:bb:c1:29,1
2e:10:71:69:61:67,1
2c:f0:ee:ce:5c:83,2
2c:f0:ee:7f:3c:7f,13
30:f7:c5:07:05:31,1
34:23:ba:bc:37:67,8
28:e3:1f:54:26:cb,4
28:e1:4c:b4:8a:48,18
20:64:32:c0:e8:5f,3
20:54:76:88:fc:61,1
20:54:76:4e:73:dd,7
20:02:af:3c:da:85,54
20:02:af:35:48:d4,83
1e:fb:a3:1b:55:b8,1
1e:a4:59:10:1f:c8,1
1e:7b:04:88:ad:61,1
1e:45:7c:d7:43:65,1
1c:99:4c:ff:15:1d,1
20:6e:9c:f9:d5:c5,12
1c:99:4c:f9:70:01,6
1c:1a:c0:57:a2:28,1
1c:1a:c0:4e:cb:b0,2
1c:1a:c0:4b:ca:28,6
1c:1a:c0:3c:fb:d4,14
1c:1a:c0:12:56:6a,2
1c:1a:c0:0e:41:fb,1
1a:ef:dd:9f:e7:51,1
1a:c8:c7:e5:f7:d1,1
1a:2d:fa:3e:13:2c,1
1a:0f:03:88:61:ea,1
1c:1a:c0:58:2e:2d,4
28:e1:4c:f3:9a:35,27
20:a2:e4:08:50:13,8
20:a2:e4:90:3d:35,6
28:e1:4c:90:40:92,1
28:e0:2c:43:f7:67,1
28:cf:e9:df:84:11,3
28:cf:e9:d2:c3:01,51
28:5a:eb:ed:6b:2b,1
28:5a:eb:da:01:02,2
26:bc:dd:47:72:7c,1
26:67:0d:a8:9e:73,1
26:18:d3:d4:08:c0,1
26:02:e1:ae:fe:c7,1
20:a2:e4:89:58:08,4
24:e3:14:30:62:a4,3
24:ab:81:6f:a1:3c,63
24:a2:e1:15:9d:89,6
24:24:0e:91:f7:d9,3
24:24:0e:25:f4:2f,23
24:09:95:89:60:0b,3
24:09:95:37:03:16,5
22:9b:32:2b:a9:f6,1
20:c9:d0:6e:a2:e3,13
20:a9:9b:1a:7c:08,28
20:a2:e4:9d:c2:53,1
24:e3:14:0b:a8:bf,1
34:36:3b:b7:31:59,1
34:80:b3:1f:3b:f4,2
34:80:b3:21:ec:82,124
3e:d3:80:4e:f7:9b,1
3e:56:62:c6:54:c0,1
3e:4f:b4:c1:02:6d,1
3e:4b:a3:08:ce:72,1
3c:d0:f8:b8:5b:8f,1
3c:d0:f8:a5:ac:51,3
3c:d0:f8:68:f2:05,17
3c:d0:f8:2c:d7:ff,1
3c:a3:48:01:97:00,8
3c:a1:0d:d5:5d:3d,1
3e:df:23:5e:8a:b9,1
3c:91:57:ff:bb:07,21
3c:91:57:d0:e0:07,16
3c:91:57:c5:f2:2b,30
3c:91:57:ae:97:a3,2
3c:91:57:9b:9e:25,20
3c:91:57:15:4d:5b,21
3c:91:57:06:d7:e7,3
3c:91:57:04:7c:3b,1
3c:47:11:cd:f0:85,5
3a:ce:d3:d1:57:95,1
3a:5b:7d:f4:0a:50,1
3c:91:57:d8:e8:85,11
3a:34:91:fd:bd:ef,1
40:0e:85:21:9c:0c,9
40:30:04:26:9f:50,10
48:5a:3f:27:c6:8f,11
48:5a:3f:1c:05:20,19
48:5a:3f:18:1d:a0,18
48:43:7c:df:f8:b7,5
48:43:7c:47:31:b9,1
48:13:f3:df:f1:1d,4
48:13:f3:bb:f7:85,9
46:87:a2:f9:0e:ca,1
44:d4:e0:53:0d:6a,1
44:d4:e0:50:8d:dd,8
40:0e:85:4c:a0:b3,23
44:91:db:47:0a:99,5
42:93:ff:b7:1f:da,1
42:73:f0:bb:a0:24,1
42:47:74:d6:e3:b4,1
42:05:36:40:50:d6,1
40:f3:08:f4:20:a1,1
40:f3:08:92:0c:7f,5
40:f3:08:82:76:41,5
40:f3:08:3d:5a:da,2
40:a6:d9:c1:82:47,3
40:33:1a:2f:56:25,12
44:4c:0c:9c:97:f0,3
38:f8:89:0e:2f:11,4
38:bc:1a:e4:73:3e,3
38:bc:1a:db:9e:5f,8
38:0b:40:8e:86:5f,10
36:b4:2c:7b:34:53,1
36:9a:4e:76:c2:43,1
36:61:69:b9:aa:a1,1
36:25:ce:b7:53:60,1
36:1a:53:36:f1:18,1
34:e2:fd:72:bb:1b,42
34:e2:fd:2d:9e:36,18
34:e2:fd:21:87:42,6
34:e2:fd:15:68:a6,1
38:0b:40:9d:9f:8d,1
34:e2:fd:03:9a:1b,50
34:c0:59:9e:7d:6a,30
34:be:00:10:38:38,1
34:80:b3:eb:1a:83,2
34:80:b3:bb:23:80,7
34:80:b3:ab:0b:95,53
34:80:b3:a7:bd:02,5
34:80:b3:6f:19:25,2
34:80:b3:4c:92:e7,19
34:80:b3:4b:55:51,2
34:80:b3:23:cd:48,4
34:de:34:8b:91:8b,15
38:2d:d1:d3:37:25,4
38:48:4c:35:f7:a8,10
38:48:4c:74:8a:ee,9
38:bc:1a:d2:43:63,2
38:bc:1a:d2:17:e2,1
38:bc:1a:bb:b7:78,2
38:bc:1a:b9:9a:7d,31
38:bc:1a:b9:1c:d5,1
38:bc:1a:b1:e5:10,5
38:bc:1a:a2:72:3d,2
38:bc:1a:9a:27:f5,8
38:bc:1a:99:42:0b,1
38:bc:1a:93:a9:b0,4
38:bc:1a:8b:f7:17,1
38:bc:1a:81:c7:17,7
38:bc:1a:6a:9c:49,46
38:bc:1a:53:54:28,1
38:bc:1a:18:c7:19,1
38:bc:1a:10:83:ef,30
38:bc:1a:0e:2d:d7,31
38:bc:1a:0b:37:e4,17
38:bc:1a:03:0c:ec,2
38:bc:1a:02:aa:17,17
38:aa:3c:f7:fa:38,1
38:aa:3c:d7:2e:3e,13
38:aa:3c:01:62:18,3
18:f6:43:69:ca:c1,1
48:5a:3f:4c:f6:b1,25
18:f6:43:2f:8a:96,46
18:dc:56:f2:1c:70,7
0a:c6:07:b5:bb:a2,1
0a:62:f3:9b:fc:00,1
08:70:45:d7:67:b4,1
08:70:45:a8:f3:ae,21
06:c3:74:5e:44:e0,1
06:a7:49:0b:84:6c,1
06:04:71:ce:d8:a9,1
04:fe:31:b3:a1:3e,4
04:f7:e4:ab:1d:5b,11
04:f7:e4:1e:f5:b0,1
0a:f4:22:e3:ca:3f,1
04:e5:36:eb:57:07,1
04:db:56:35:e4:f3,1
04:54:53:22:1a:1f,25
04:48:9a:9f:44:ea,1
04:48:9a:92:11:6e,8
04:48:9a:91:03:04,3
04:48:9a:7e:e5:01,13
04:1e:64:69:78:c9,1
04:1b:ba:e7:2b:83,107
02:03:81:44:ee:c0,1
00:f7:6f:c9:43:3f,5
04:e5:36:e9:ca:bf,12
00:f7:6f:c1:c2:f6,2
0c:1d:af:67:36:2d,1
0c:1d:af:68:5d:a3,13
0e:10:6e:4a:d3:8b,1
0c:b3:19:85:e8:4b,1
0c:b3:19:5b:dc:d5,5
0c:77:1a:95:b0:0a,24
0c:77:1a:6b:39:57,1
0c:77:1a:23:cc:68,1
0c:3e:9f:99:db:25,26
0c:3e:9f:59:36:1b,6
0c:3e:9f:26:69:70,3
0c:37:dc:9c:3a:5e,4
0c:1d:af:67:75:c0,29
0c:30:21:d1:f8:62,100
0c:1d:af:fc:36:df,1
0c:1d:af:ef:77:2c,1
0c:1d:af:ec:af:0f,93
0c:1d:af:ec:92:85,6
0c:1d:af:eb:fc:45,19
0c:1d:af:e6:6e:4f,2
0c:1d:af:e5:9d:0a,304
0c:1d:af:e5:57:92,22
0c:1d:af:d6:d9:d3,4
0c:1d:af:72:5b:07,53
0c:30:21:6a:63:85,14
0e:6d:5d:e0:ba:d9,1
00:f7:6f:95:7c:bb,17
00:f4:b9:de:4c:cf,1
00:18:60:73:88:54,10
00:16:6d:fa:8f:eb,25
00:16:6d:e2:02:9e,1
00:16:6d:c2:76:ab,20
00:16:6d:27:f9:84,42
00:16:6d:26:e1:01,11
00:12:40:6b:6f:f9,1
00:0c:e7:c5:d3:37,26
00:0c:e7:a8:f7:33,8
00:0c:e7:71:00:56,7
00:18:60:75:74:18,1
00:0a:f5:c1:44:f8,1
00:08:ca:52:c5:e2,2
00:08:22:f2:51:07,1
00:08:22:e6:33:60,3
00:08:22:e0:23:fc,1
00:08:22:9c:28:32,1
00:08:22:98:bc:fb,1
00:08:22:98:48:0b,24
00:08:22:2c:fb:fb,3
00:08:22:14:13:11,1
00:08:22:06:17:a6,1
00:0a:f5:0e:e9:6c,12
00:f7:6f:79:57:b2,1
00:1a:95:68:69:b3,1
00:27:15:32:02:87,5
00:f4:b9:9e:7b:8a,33
00:f4:b9:8d:69:1a,10
00:f4:b9:6f:df:ec,23
00:f4:b9:5e:c2:17,3
00:ee:bd:8d:c0:bd,8
00:ee:bd:8b:28:21,1
00:d5:d0:2c:77:3a,35
00:cd:bf:82:ab:11,14
00:c8:ef:a0:cc:90,1
00:ac:a9:b8:e0:22,1
00:23:b1:47:58:6d,5
00:99:1d:c9:09:dc,14
00:90:4c:c5:12:38,25
